horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
5,44,-3,t-3,0.021156108006834984
5,45,-2,t-2,0.021208040416240692
5,46,-1,t-1,0.021262597292661667
5,47,0,t,0.02131626009941101
6,0,-47,t-47,0.01873522810637951
6,1,-46,t-46,0.019187679514288902
6,2,-45,t-45,0.01978205144405365
6,3,-44,t-44,0.020274469628930092
6,4,-43,t-43,0.020605189725756645
6,5,-42,t-42,0.020809682086110115
6,6,-41,t-41,0.020930001512169838
6,7,-40,t-40,0.020993635058403015
6,8,-39,t-39,0.02102534845471382
6,9,-38,t-38,0.02103736624121666
6,10,-37,t-37,0.021036947146058083
6,11,-36,t-36,0.021026071161031723
6,12,-35,t-35,0.02100624330341816
6,13,-34,t-34,0.02098073996603489
6,14,-33,t-33,0.020954955369234085
6,15,-32,t-32,0.020930074155330658
6,16,-31,t-31,0.020907539874315262
6,17,-30,t-30,0.0208892859518528
6,18,-29,t-29,0.020877165719866753
6,19,-28,t-28,0.020871110260486603
6,20,-27,t-27,0.020872078835964203
6,21,-26,t-26,0.020876919850707054
6,22,-25,t-25,0.02088286355137825
6,23,-24,t-24,0.020887035876512527
6,24,-23,t-23,0.020888106897473335
6,25,-22,t-22,0.020885201171040535
6,26,-21,t-21,0.020880356431007385
6,27,-20,t-20,0.020873764529824257
6,28,-19,t-19,0.02086758241057396
6,29,-18,t-18,0.02086467482149601
6,30,-17,t-17,0.02086586318910122
6,31,-16,t-16,0.02086917869746685
6,32,-15,t-15,0.02087731659412384
6,33,-14,t-14,0.020890146493911743
6,34,-13,t-13,0.020907405763864517
6,35,-12,t-12,0.020925378426909447
6,36,-11,t-11,0.02094179578125477
6,37,-10,t-10,0.020956657826900482
6,38,-9,t-9,0.020972352474927902
6,39,-8,t-8,0.02098841965198517
6,40,-7,t-7,0.021008219569921494
6,41,-6,t-6,0.021034298464655876
6,42,-5,t-5,0.021068116649985313
6,43,-4,t-4,0.021109240129590034
6,44,-3,t-3,0.021157504990696907
6,45,-2,t-2,0.021209457889199257
6,46,-1,t-1,0.021263405680656433
6,47,0,t,0.021315857768058777
7,0,-47,t-47,0.018733792006969452
7,1,-46,t-46,0.019184816628694534
7,2,-45,t-45,0.019776226952672005
7,3,-44,t-44,0.020267968997359276
7,4,-43,t-43,0.020601436495780945
7,5,-42,t-42,0.020808635279536247
7,6,-41,t-41,0.020930925384163857
7,7,-40,t-40,0.020996790379285812
7,8,-39,t-39,0.02102644182741642
7,9,-38,t-38,0.02103632129728794
7,10,-37,t-37,0.021033938974142075
7,11,-36,t-36,0.021024540066719055
7,12,-35,t-35,0.021006349474191666
7,13,-34,t-34,0.02098078280687332
7,14,-33,t-33,0.020952509716153145
7,15,-32,t-32,0.02092790976166725
7,16,-31,t-31,0.020907562226057053
7,17,-30,t-30,0.020891183987259865
7,18,-29,t-29,0.020879214629530907
7,19,-28,t-28,0.020873038098216057
